STUDENT_ID,QUIZ_QUESTION_ID,QUIZ_QUESTION,ANSWERED_CORRECT_OR_INCORRECT
11,5,"What was the ""Iron Curtain""?",INCORRECT
11,6,Which country was divided into North and South during the Cold War and later reunited?,INCORRECT
11,7,What was the name of the U.S. policy aimed at containing the spread of communism during the Cold War?,INCORRECT
11,8,What was the significance of the Cuban Missile Crisis during the Cold War?,CORRECT
11,9,What was the purpose of the Berlin Wall?,CORRECT
11,10,Who was the leader of the Soviet Union during most of the Cold War?,INCORRECT
12,1,What was the Cold War?,CORRECT
12,2,Which two major superpowers were the primary participants in the Cold War?,INCORRECT
12,3,What was the main ideological conflict between the United States and the Soviet Union during the Cold War?,INCORRECT
12,4,Which event marked the beginning of the Cold War?,CORRECT
12,5,"What was the ""Iron Curtain""?",CORRECT
12,6,Which country was divided into North and South during the Cold War and later reunited?,INCORRECT
12,7,What was the name of the U.S. policy aimed at containing the spread of communism during the Cold War?,INCORRECT
12,8,What was the significance of the Cuban Missile Crisis during the Cold War?,CORRECT
12,9,What was the purpose of the Berlin Wall?,CORRECT
12,10,Who was the leader of the Soviet Union during most of the Cold War?,INCORRECT
13,1,What was the Cold War?,INCORRECT
13,2,Which two major superpowers were the primary participants in the Cold War?,INCORRECT
13,3,What was the main ideological conflict between the United States and the Soviet Union during the Cold War?,CORRECT
13,4,Which event marked the beginning of the Cold War?,CORRECT
13,5,"What was the ""Iron Curtain""?",CORRECT
13,6,Which country was divided into North and South during the Cold War and later reunited?,INCORRECT
13,7,What was the name of the U.S. policy aimed at containing the spread of communism during the Cold War?,INCORRECT
13,8,What was the significance of the Cuban Missile Crisis during the Cold War?,CORRECT
13,9,What was the purpose of the Berlin Wall?,CORRECT
13,10,Who was the leader of the Soviet Union during most of the Cold War?,CORRECT
14,1,What was the Cold War?,CORRECT
14,2,Which two major superpowers were the primary participants in the Cold War?,CORRECT
14,3,What was the main ideological conflict between the United States and the Soviet Union during the Cold War?,INCORRECT
14,4,Which event marked the beginning of the Cold War?,INCORRECT
14,5,"What was the ""Iron Curtain""?",CORRECT
14,6,Which country was divided into North and South during the Cold War and later reunited?,CORRECT
14,7,What was the name of the U.S. policy aimed at containing the spread of communism during the Cold War?,INCORRECT
14,8,What was the significance of the Cuban Missile Crisis during the Cold War?,CORRECT
14,9,What was the purpose of the Berlin Wall?,CORRECT
14,10,Who was the leader of the Soviet Union during most of the Cold War?,INCORRECT
15,1,What was the Cold War?,INCORRECT
15,2,Which two major superpowers were the primary participants in the Cold War?,CORRECT
15,3,What was the main ideological conflict between the United States and the Soviet Union during the Cold War?,CORRECT
15,4,Which event marked the beginning of the Cold War?,CORRECT
15,5,"What was the ""Iron Curtain""?",INCORRECT
15,6,Which country was divided into North and South during the Cold War and later reunited?,CORRECT
15,7,What was the name of the U.S. policy aimed at containing the spread of communism during the Cold War?,CORRECT
15,8,What was the significance of the Cuban Missile Crisis during the Cold War?,CORRECT
15,9,What was the purpose of the Berlin Wall?,CORRECT
15,10,Who was the leader of the Soviet Union during most of the Cold War?,INCORRECT
